,PER_CAPITA
AC,0.0012806264491053662
AL,0.0004902823523495838
AM,0.0012045696456574554
AP,0.0012678056918214793
BA,0.0008773733445571872
CE,0.0007792724970714111
DF,0.0028485366213466994
ES,0.0011277609085803724
GO,0.0012133394426383606
MA,0.0008645410842408311
MG,0.0013435173848648297
MS,0.001196423553551458
MT,0.001024656054259611
PA,0.0007840870211824595
PB,0.0009002563313748898
PE,0.0007992361404117398
PI,0.0006807056617482743
PR,0.001515002484095251
RJ,0.0008914790697584487
RN,0.0009203483262762642
RO,0.0020246532639899015
RR,0.0007376425103576479
RS,0.001985157857789831
SC,0.001522174921068338
SE,0.000726725717218094
SP,0.001542509537466976
TO,0.0009147754048178171
